date,close,macd_histogram,macd_macd,macd_signal
2024-03-01 18:52:00,3432.5,-0.2857,1.875,2.1607
2024-03-01 18:53:00,3432.88,-0.1554,1.9665,2.1219
2024-03-01 18:54:00,3433.1,-0.0708,2.0334,2.1042
2024-03-01 18:55:00,3432,-0.1035,1.9749,2.0783
2024-03-01 18:56:00,3434.61,0.0291,2.1147,2.0856
2024-03-01 18:57:00,3432.1,-0.0685,1.9999,2.0685
2024-03-01 18:58:00,3431.5,-0.1833,1.8394,2.0227
2024-03-01 18:59:00,3432.71,-0.1868,1.7891,1.9759
2024-03-01 19:00:00,3432.55,-0.2075,1.7166,1.9241
2024-03-01 19:01:00,3433.26,-0.1818,1.6969,1.8786
2024-03-01 19:02:00,3436.1,0.008,1.8886,1.8806
2024-03-01 19:03:00,3435.57,0.0755,1.975,1.8995
2024-03-01 19:04:00,3426.92,-0.4554,1.3302,1.7857
2024-03-01 19:05:00,3427.52,-0.7423,0.8577,1.6001
2024-03-01 19:06:00,3429.5,-0.7715,0.6357,1.4072
2024-03-01 19:07:00,3428.1,-0.8515,0.3428,1.1943
2024-03-01 19:08:00,3427.2,-0.9253,0.0377,0.963
2024-03-01 19:09:00,3428.9,-0.8234,-0.0662,0.7572
2024-03-01 19:10:00,3430.8,-0.602,0.0047,0.6067
2024-03-01 19:11:00,3427.8,-0.6286,-0.1791,0.4495
2024-03-01 19:12:00,3425.7,-0.7505,-0.4886,0.2619
2024-03-01 19:13:00,3425.65,-0.7931,-0.7295,0.0636
2024-03-01 19:14:00,3427.12,-0.685,-0.7926,-0.1076
2024-03-01 19:15:00,3427.61,-0.5491,-0.794,-0.2449
2024-03-01 19:16:00,3427.2,-0.4591,-0.8187,-0.3597
2024-03-01 19:17:00,3430,-0.1966,-0.6054,-0.4088
2024-03-01 19:18:00,3430.47,0.0119,-0.3939,-0.4058
2024-03-01 19:19:00,3430.36,0.1387,-0.2325,-0.3712
2024-03-01 19:20:00,3429.1,0.1339,-0.2038,-0.3377
2024-03-01 19:21:00,3426.9,-0.0135,-0.3546,-0.3411
2024-03-01 19:22:00,3429.5,0.0639,-0.2613,-0.3251
2024-03-01 19:23:00,3427.15,-0.038,-0.3726,-0.3346
2024-03-01 19:24:00,3426.1,-0.1638,-0.5394,-0.3756
2024-03-01 19:25:00,3425.2,-0.2881,-0.7357,-0.4476
2024-03-01 19:26:00,3423.7,-0.4425,-1.0008,-0.5582
2024-03-01 19:27:00,3423.6,-0.5174,-1.205,-0.6876
2024-03-01 19:28:00,3423.85,-0.515,-1.3314,-0.8163
2024-03-01 19:29:00,3423.5,-0.5014,-1.4431,-0.9417
2024-03-01 19:30:00,3424.5,-0.3942,-1.4344,-1.0402
2024-03-01 19:31:00,3426.6,-0.1628,-1.2438,-1.0809
2024-03-01 19:32:00,3422,-0.293,-1.4472,-1.1542
2024-03-01 19:33:00,3424.22,-0.207,-1.4129,-1.2059
2024-03-01 19:34:00,3422.77,-0.2238,-1.4857,-1.2619
2024-03-01 19:35:00,3424.55,-0.0975,-1.3838,-1.2863
2024-03-01 19:36:00,3425.17,0.0381,-1.2387,-1.2767
2024-03-01 19:37:00,3424.5,0.0899,-1.1643,-1.2543
2024-03-01 19:38:00,3424.33,0.1183,-1.1064,-1.2247
2024-03-01 19:39:00,3425.4,0.2093,-0.963,-1.1723
2024-03-01 19:40:00,3429.02,0.4971,-0.5509,-1.0481
2024-03-01 19:41:00,3429.7,0.7044,-0.1676,-0.872
2024-03-01 19:42:00,3427.86,0.6879,-0.0121,-0.7
2024-03-01 19:43:00,3427.8,0.6441,0.1051,-0.539
2024-03-01 19:44:00,3427.6,0.575,0.1798,-0.3952
2024-03-01 19:45:00,3429.4,0.62,0.3798,-0.2402
2024-03-01 19:46:00,3426.01,0.4016,0.2617,-0.1398
2024-03-01 19:47:00,3426,0.2443,0.1655,-0.0788
2024-03-01 19:48:00,3425.8,0.1208,0.0722,-0.0486
2024-03-01 19:49:00,3430.29,0.3241,0.3565,0.0325
2024-03-01 19:50:00,3430.4,0.4412,0.584,0.1428
2024-03-01 19:51:00,3428.4,0.3626,0.596,0.2334
2024-03-01 19:52:00,3426.4,0.1645,0.439,0.2745
2024-03-01 19:53:00,3427.2,0.0803,0.3749,0.2946
2024-03-01 19:54:00,3428.2,0.0844,0.4001,0.3157
2024-03-01 19:55:00,3428,0.067,0.3994,0.3324
2024-03-01 19:56:00,3428.8,0.1005,0.4581,0.3576
2024-03-01 19:57:00,3429.32,0.1462,0.5403,0.3941
2024-03-01 19:58:00,3429.49,0.1744,0.6122,0.4377
2024-03-01 19:59:00,3428.9,0.1413,0.6144,0.4731
2024-03-01 20:00:00,3430.2,0.1918,0.7129,0.521
2024-03-01 20:01:00,3433,0.3874,1.0053,0.6179
2024-03-01 20:02:00,3432.87,0.4757,1.2125,0.7368
