date,close,macd_histogram,macd_macd,macd_signal,MACD,Signal Line,Histogram,RSI,Stochastic RSI,DPO,CC
2023-12-16 00:18:00,2229.72,0.3662,2.1012,1.735,2.1012,1.735,0.3662,65.9848,0.3333,2.3919,0.0057
2023-12-16 00:19:00,2228.0,0.1672,1.944,1.7768,1.944,1.7768,0.1672,59.9862,0.1441,1.9481,0.0051
2023-12-16 00:20:00,2227.2,-0.0336,1.7348,1.7684,1.7348,1.7684,-0.0336,54.6639,-0.1961,2.3248,0.0043
2023-12-16 00:21:00,2224.7,-0.3333,1.3518,1.6851,1.3518,1.6851,-0.3333,45.1865,-0.2919,-1.6186,0.0034
2023-12-16 00:22:00,2225.7,-0.4552,1.116,1.5713,1.116,1.5713,-0.4552,44.1789,-0.024,-0.1448,0.0022
2023-12-16 00:23:00,2222.8,-0.7072,0.6872,1.3945,0.6872,1.3945,-0.7072,36.8559,-0.1705,0.9695,0.0014
2023-12-16 00:24:00,2221.1,-0.9493,0.2079,1.1571,0.2079,1.1571,-0.9493,31.1401,-0.1137,1.6648,0.0002
2023-12-16 00:25:00,2225.2,-0.8001,0.157,0.9571,0.157,0.9571,-0.8001,50.2439,0.4107,2.1348,-0.0013
2023-12-16 00:26:00,2225.7,-0.6415,0.1552,0.7967,0.1552,0.7967,-0.6415,47.1503,0.3442,3.349,-0.0017
2023-12-16 00:27:00,2221.0,-0.8157,-0.2228,0.5928,-0.2228,0.5928,-0.8157,34.3612,0.0692,3.4205,-0.002
2023-12-16 00:28:00,2223.3,-0.7407,-0.3331,0.4076,-0.3331,0.4076,-0.7407,38.9344,0.1738,3.071,-0.0032
2023-12-16 00:29:00,2224.2,-0.6012,-0.3438,0.2574,-0.3438,0.2574,-0.6012,40.4,0.2183,1.4938,-0.0039
2023-12-16 00:30:00,2223.5,-0.5292,-0.4041,0.1251,-0.4041,0.1251,-0.5292,36.3265,0.1303,0.8557,-0.0042
2023-12-16 00:31:00,2222.0,-0.5532,-0.5665,-0.0133,-0.5665,-0.0133,-0.5532,33.9768,0.0713,-1.4395,-0.0045
2023-12-16 00:32:00,2222.36,-0.5162,-0.6585,-0.1423,-0.6585,-0.1423,-0.5162,35.6698,0.13,-0.1248,-0.0049
2023-12-16 00:33:00,2221.6,-0.5131,-0.7837,-0.2706,-0.7837,-0.2706,-0.5131,37.055,0.2051,-2.8943,-0.0049
2023-12-16 00:34:00,2219.9,-0.5903,-1.0085,-0.4182,-1.0085,-0.4182,-0.5903,35.7533,0.1961,-4.3467,-0.0049
2023-12-16 00:35:00,2219.3,-0.6422,-1.221,-0.5787,-1.221,-0.5787,-0.6422,38.6172,0.3914,0.1438,-0.0049
2023-12-16 00:36:00,2218.9,-0.6614,-1.4054,-0.7441,-1.4054,-0.7441,-0.6614,35.2941,0.2174,1.0914,-0.0046
2023-12-16 00:37:00,2215.3,-0.8616,-1.8211,-0.9595,-1.8211,-0.9595,-0.8616,34.2569,0.1632,-3.1276,-0.0048
2023-12-16 00:38:00,2212.8,-1.0928,-2.3255,-1.2327,-2.3255,-1.2327,-1.0928,33.1438,0.1049,-0.1181,-0.0054
2023-12-16 00:39:00,2213.1,-1.15,-2.6702,-1.5202,-2.6702,-1.5202,-1.15,20.9414,-0.7136,1.6152,-0.0058
2023-12-16 00:40:00,2214.4,-1.0288,-2.8061,-1.7774,-2.8061,-1.7774,-1.0288,23.8668,0.1116,1.7067,-0.0066
2023-12-16 00:41:00,2216.3,-0.7614,-2.7291,-1.9677,-2.7291,-1.9677,-0.7614,37.5133,0.8516,0.8543,-0.0073
2023-12-16 00:42:00,2219.3,-0.3445,-2.3983,-2.0538,-2.3983,-2.0538,-0.3445,39.7541,0.9668,1.7333,-0.0071
2023-12-16 00:43:00,2221.1,0.0685,-1.9683,-2.0367,-1.9683,-2.0367,0.0685,42.4094,1.1033,1.2305,-0.0065
2023-12-16 00:44:00,2223.3,0.4827,-1.4334,-1.9161,-1.4334,-1.9161,0.4827,49.5438,1.3323,-0.2505,-0.0057
2023-12-16 00:45:00,2222.19,0.6636,-1.0865,-1.7501,-1.0865,-1.7501,0.6636,50.4412,1.0314,-0.8743,-0.0045
2023-12-16 00:46:00,2222.7,0.7908,-0.7617,-1.5525,-0.7617,-1.5525,0.7908,50.7841,1.0116,-1.3262,-0.0033
