date,close,macd_histogram,macd_macd,macd_signal,MACD,Signal Line,Histogram,RSI,Stochastic RSI,DPO,CC
2024-01-04 00:18:00,2220.1,0.5933,2.8687,2.2754,2.8687,2.2754,0.5933,88.4615,1.1339,0.9252,0.0074
2024-01-04 00:19:00,2218.3,0.3977,2.7726,2.3748,2.7726,2.3748,0.3977,78.3133,0.757,0.6295,0.0081
2024-01-04 00:20:00,2219.0,0.2773,2.7215,2.4442,2.7215,2.4442,0.2773,78.4431,0.7178,1.1895,0.008
2024-01-04 00:21:00,2216.6,0.0119,2.459,2.4471,2.459,2.4471,0.0119,68.3043,0.4276,1.4843,0.0078
2024-01-04 00:22:00,2214.9,-0.2859,2.0898,2.3757,2.0898,2.3757,-0.2859,52.4691,-0.2923,2.8133,0.0071
2024-01-04 00:23:00,2213.6,-0.5622,1.6729,2.2351,1.6729,2.2351,-0.5622,48.0069,-0.124,1.7514,0.0058
2024-01-04 00:24:00,2212.0,-0.8284,1.1996,2.028,1.1996,2.028,-0.8284,41.1111,-0.1705,2.5024,0.0042
2024-01-04 00:25:00,2209.4,-1.1362,0.6077,1.744,0.6077,1.744,-1.1362,33.7017,-0.1565,4.2467,0.0025
2024-01-04 00:26:00,2209.94,-1.251,0.1802,1.4312,0.1802,1.4312,-1.251,29.9363,-0.0688,4.5848,0.0004
2024-01-04 00:27:00,2209.9,-1.273,-0.1601,1.1129,-0.1601,1.1129,-1.273,31.1947,0.0215,3.5352,-0.0016
2024-01-04 00:28:00,2209.74,-1.2404,-0.4376,0.8028,-0.4376,0.8028,-1.2404,27.0411,-0.0495,4.7162,-0.0033
2024-01-04 00:29:00,2209.9,-1.1521,-0.6373,0.5148,-0.6373,0.5148,-1.1521,19.2308,-0.1272,2.9129,-0.0046
2024-01-04 00:30:00,2210.02,-1.0333,-0.7769,0.2565,-0.7769,0.2565,-1.0333,17.7546,-0.0213,3.8129,-0.0059
2024-01-04 00:31:00,2211.04,-0.842,-0.796,0.046,-0.796,0.046,-0.842,24.3807,0.0937,1.6162,-0.0068
2024-01-04 00:32:00,2210.1,-0.7383,-0.8769,-0.1386,-0.8769,-0.1386,-0.7383,16.8435,-0.0129,0.1143,-0.0072
2024-01-04 00:33:00,2210.0,-0.6398,-0.9383,-0.2985,-0.9383,-0.2985,-0.6398,18.9836,0.0347,-0.91,-0.0075
2024-01-04 00:34:00,2210.0,-0.5417,-0.9757,-0.434,-0.9757,-0.434,-0.5417,14.511,-0.0379,-2.1529,-0.0073
2024-01-04 00:35:00,2210.4,-0.4224,-0.962,-0.5396,-0.962,-0.5396,-0.4224,20.9738,0.1201,-4.4338,-0.0071
2024-01-04 00:36:00,2210.9,-0.2886,-0.9004,-0.6117,-0.9004,-0.6117,-0.2886,28.903,0.3792,-3.5476,-0.0064
2024-01-04 00:37:00,2215.57,0.1139,-0.4693,-0.5833,-0.4693,-0.5833,0.1139,57.6654,1.2883,-3.1781,-0.0053
2024-01-04 00:38:00,2215.4,0.3548,-0.1398,-0.4946,-0.1398,-0.4946,0.3548,64.8862,1.1673,-3.1319,-0.0035
2024-01-04 00:39:00,2213.02,0.3397,-0.0699,-0.4096,-0.0699,-0.4096,0.3397,66.1607,1.0253,-2.8052,-0.0019
2024-01-04 00:40:00,2213.2,0.3277,0.0,-0.3277,0.0,-0.3277,0.3277,65.0369,0.9782,-2.3481,-0.0006
2024-01-04 00:41:00,2211.3,0.1847,-0.0968,-0.2815,-0.0968,-0.2815,0.1847,55.5118,0.7938,-1.0852,0.0005
2024-01-04 00:42:00,2213.32,0.2169,-0.0104,-0.2273,-0.0104,-0.2273,0.2169,62.294,0.9251,-1.6586,0.001
2024-01-04 00:43:00,2213.4,0.2329,0.0638,-0.1691,0.0638,-0.1691,0.2329,62.0856,0.9211,-1.6024,0.0017
2024-01-04 00:44:00,2213.0,0.2067,0.0893,-0.1174,0.0893,-0.1174,0.2067,60.0949,0.8826,-1.531,0.0022
2024-01-04 00:45:00,2211.05,0.0561,-0.0473,-0.1034,-0.0473,-0.1034,0.0561,50.0319,0.6877,-1.1024,0.0025
2024-01-04 00:46:00,2212.0,0.0203,-0.078,-0.0983,-0.078,-0.0983,0.0203,56.051,0.8043,-0.5571,0.0023
2024-01-04 00:47:00,2210.62,-0.0903,-0.2112,-0.1209,-0.2112,-0.1209,-0.0903,51.8257,0.7225,3.989,0.0021
2024-01-04 00:48:00,2209.6,-0.219,-0.3946,-0.1756,-0.3946,-0.1756,-0.219,48.8889,0.6656,3.7867,0.0017
2024-01-04 00:49:00,2209.67,-0.282,-0.5281,-0.2461,-0.5281,-0.2461,-0.282,47.9344,0.5966,1.421,0.0008
2024-01-04 00:50:00,2209.9,-0.2898,-0.6084,-0.3186,-0.6084,-0.3186,-0.2898,47.1264,0.4891,1.6043,-0.0
2024-01-04 00:51:00,2211.0,-0.2065,-0.5766,-0.3702,-0.5766,-0.3702,-0.2065,33.4779,-0.717,-0.2957,-0.0005
2024-01-04 00:52:00,2212.1,-0.0698,-0.4574,-0.3876,-0.4574,-0.3876,-0.0698,38.8211,0.1635,1.6776,-0.0011
2024-01-04 00:53:00,2211.0,-0.0471,-0.4465,-0.3994,-0.4465,-0.3994,-0.0471,42.5074,0.2763,1.7071,-0.0014
2024-01-04 00:54:00,2211.96,0.0344,-0.3564,-0.3908,-0.3564,-0.3908,0.0344,45.6522,0.3858,1.2643,-0.0016
2024-01-04 00:55:00,2212.7,0.1346,-0.2226,-0.3572,-0.2226,-0.3572,0.1346,55.3435,0.7588,-0.779,-0.0017
2024-01-04 00:56:00,2213.42,0.2395,-0.0578,-0.2973,-0.0578,-0.2973,0.2395,50.4237,0.5881,0.0424,-0.0014
2024-01-04 00:57:00,2211.17,0.1518,-0.1076,-0.2594,-0.1076,-0.2594,0.1518,42.0186,0.2985,-1.4814,-0.0009
2024-01-04 00:58:00,2211.59,0.118,-0.1118,-0.2299,-0.1118,-0.2299,0.118,44.9607,0.4314,-2.5143,-0.0009
2024-01-04 00:59:00,2212.5,0.1509,-0.0413,-0.1921,-0.0413,-0.1921,0.1509,55.5985,0.98,-2.2548,-0.0007
2024-01-04 01:00:00,2211.86,0.1244,-0.0366,-0.161,-0.0366,-0.161,0.1244,49.4462,0.7074,-1.8867,-0.0001
2024-01-04 01:01:00,2210.9,0.0416,-0.1091,-0.1506,-0.1091,-0.1506,0.0416,51.1457,0.7987,-0.7314,0.0002
2024-01-04 01:02:00,2215.45,0.2792,0.1983,-0.0808,0.1983,-0.0808,0.2792,68.5714,1.5865,0.4781,0.0003
2024-01-04 01:03:00,2213.9,0.3153,0.3133,-0.002,0.3133,-0.002,0.3153,62.2751,0.8206,-0.8195,0.0012
2024-01-04 01:04:00,2213.7,0.3087,0.3838,0.0751,0.3838,0.0751,0.3087,61.0465,0.7856,0.1129,0.0016
2024-01-04 01:05:00,2214.13,0.3151,0.469,0.1539,0.469,0.1539,0.3151,59.4676,0.7406,0.8386,0.002
2024-01-04 01:06:00,2213.1,0.2354,0.4482,0.2128,0.4482,0.2128,0.2354,53.0377,0.4779,1.5048,0.0022
2024-01-04 01:07:00,2213.77,0.214,0.4803,0.2663,0.4803,0.2663,0.214,58.64,0.626,-0.8429,0.002
2024-01-04 01:08:00,2210.1,-0.0473,0.2072,0.2544,0.2072,0.2544,-0.0473,45.0374,0.1137,-0.5071,0.002
2024-01-04 01:09:00,2210.1,-0.2109,-0.0092,0.2017,-0.0092,0.2017,-0.2109,42.7778,0.0286,0.4276,0.0014
2024-01-04 01:10:00,2210.2,-0.2978,-0.1706,0.1273,-0.1706,0.1273,-0.2978,40.7365,-0.0483,-0.2362,0.0008
2024-01-04 01:11:00,2212.7,-0.1783,-0.0957,0.0827,-0.0957,0.0827,-0.1783,54.3392,0.4887,-1.2214,0.0001
2024-01-04 01:12:00,2213.0,-0.0757,-0.012,0.0637,-0.012,0.0637,-0.0757,54.0263,0.4775,3.1952,0.0001
2024-01-04 01:13:00,2212.9,-0.0144,0.0458,0.0602,0.0458,0.0602,-0.0144,51.1976,0.3758,1.55,0.0002
