date,close,macd_histogram,macd_macd,macd_signal
2024-02-01 18:00:00,2303.8,0.4749,-0.7093,-1.1842
2024-02-01 18:01:00,2302.7,0.4145,-0.6661,-1.0806
2024-02-01 18:02:00,2301.54,0.2907,-0.7172,-1.0079
2024-02-01 18:03:00,2301.1,0.179,-0.7842,-0.9632
2024-02-01 18:04:00,2302.7,0.2105,-0.7001,-0.9106
2024-02-01 18:05:00,2301.2,0.1317,-0.7459,-0.8776
2024-02-01 18:06:00,2303.3,0.2175,-0.6057,-0.8233
2024-02-01 18:07:00,2299.6,0.0313,-0.7842,-0.8154
2024-02-01 18:08:00,2300.3,-0.035,-0.8592,-0.8242
2024-02-01 18:09:00,2297.2,-0.2651,-1.1555,-0.8905
2024-02-01 18:10:00,2297,-0.4,-1.3904,-0.9905
2024-02-01 18:11:00,2297.3,-0.4354,-1.5347,-1.0993
2024-02-01 18:12:00,2298.5,-0.3482,-1.5345,-1.1863
2024-02-01 18:13:00,2299.8,-0.1815,-1.4132,-1.2317
2024-02-01 18:14:00,2301.8,0.0714,-1.1425,-1.2139
2024-02-01 18:15:00,2301.92,0.2449,-0.9078,-1.1527
2024-02-01 18:16:00,2303.69,0.4642,-0.5724,-1.0366
2024-02-01 18:17:00,2305.5,0.7023,-0.1587,-0.861
2024-02-01 18:18:00,2303.1,0.6694,-0.0242,-0.6937
2024-02-01 18:19:00,2303,0.6137,0.0734,-0.5402
2024-02-01 18:20:00,2303.83,0.6045,0.2153,-0.3891
2024-02-01 18:21:00,2303.88,0.5737,0.328,-0.2457
2024-02-01 18:22:00,2300.7,0.3237,0.1589,-0.1648
2024-02-01 18:23:00,2300.4,0.1324,0.0007,-0.1317
2024-02-01 18:24:00,2298.5,-0.1146,-0.2749,-0.1603
2024-02-01 18:25:00,2298.7,-0.2491,-0.4717,-0.2226
2024-02-01 18:26:00,2299.2,-0.2864,-0.5806,-0.2942
2024-02-01 18:27:00,2300,-0.2411,-0.5955,-0.3545
2024-02-01 18:28:00,2297.74,-0.341,-0.7807,-0.4397
2024-02-01 18:29:00,2295.34,-0.5349,-1.1083,-0.5734
2024-02-01 18:30:00,2297.2,-0.5045,-1.204,-0.6996
2024-02-01 18:31:00,2298.13,-0.3932,-1.1911,-0.7979
2024-02-01 18:32:00,2299.79,-0.1897,-1.035,-0.8453
2024-02-01 18:33:00,2298.9,-0.1012,-0.9718,-0.8706
2024-02-01 18:34:00,2298.2,-0.0772,-0.9671,-0.8899
2024-02-01 18:35:00,2298.1,-0.0564,-0.9604,-0.904
2024-02-01 18:36:00,2299.46,0.0546,-0.8357,-0.8903
2024-02-01 18:37:00,2296.26,-0.0747,-0.9838,-0.909
2024-02-01 18:38:00,2296.21,-0.1468,-1.0925,-0.9457
2024-02-01 18:39:00,2296.9,-0.1316,-1.1103,-0.9786
2024-02-01 18:40:00,2295.6,-0.1893,-1.2152,-1.026
2024-02-01 18:41:00,2296.6,-0.1423,-1.2038,-1.0615
2024-02-01 18:42:00,2296.25,-0.118,-1.2091,-1.091
2024-02-01 18:43:00,2296.2,-0.0899,-1.2034,-1.1135
2024-02-01 18:44:00,2293.6,-0.2233,-1.3927,-1.1693
2024-02-01 18:45:00,2295.9,-0.1378,-1.3416,-1.2038
2024-02-01 18:46:00,2294,-0.1873,-1.4379,-1.2506
2024-02-01 18:47:00,2295.76,-0.0847,-1.3565,-1.2718
2024-02-01 18:48:00,2295.77,-0.0038,-1.2765,-1.2727
2024-02-01 18:49:00,2293.65,-0.0765,-1.3684,-1.2919
2024-02-01 18:50:00,2293.45,-0.1191,-1.4407,-1.3216
2024-02-01 18:51:00,2294.9,-0.035,-1.3653,-1.3304
2024-02-01 18:52:00,2294.6,0.0126,-1.3146,-1.3272
2024-02-01 18:53:00,2293.18,-0.0368,-1.3732,-1.3364
2024-02-01 18:54:00,2293.56,-0.0294,-1.3731,-1.3438
2024-02-01 18:55:00,2293.19,-0.0345,-1.3869,-1.3524
2024-02-01 18:56:00,2294.1,0.0344,-1.3094,-1.3438
2024-02-01 18:57:00,2294.43,0.1092,-1.2073,-1.3165
2024-02-01 18:58:00,2295.2,0.2114,-1.0522,-1.2636
2024-02-01 18:59:00,2294.78,0.2492,-0.9522,-1.2014
2024-02-01 19:00:00,2294.9,0.2784,-0.8534,-1.1318
2024-02-01 19:01:00,2295.7,0.3434,-0.7025,-1.0459
2024-02-01 19:02:00,2296.86,0.4498,-0.4837,-0.9335
2024-02-01 19:03:00,2295.86,0.4376,-0.3865,-0.8241
2024-02-01 19:04:00,2295.88,0.4157,-0.3044,-0.7201
2024-02-01 19:05:00,2298.43,0.5496,-0.0332,-0.5827
2024-02-01 19:06:00,2296.66,0.497,0.0385,-0.4585
2024-02-01 19:07:00,2297.89,0.5207,0.1924,-0.3283
2024-02-01 19:08:00,2297.9,0.5119,0.3115,-0.2003
2024-02-01 19:09:00,2297.2,0.4366,0.3455,-0.0912
2024-02-01 19:10:00,2296.6,0.3292,0.3203,-0.0089
2024-02-01 19:11:00,2297.2,0.2829,0.3447,0.0618
2024-02-01 19:12:00,2295.22,0.1122,0.202,0.0899
2024-02-01 19:13:00,2296.09,0.054,0.1573,0.1034
2024-02-01 19:14:00,2295.5,-0.0239,0.0734,0.0974
2024-02-01 19:15:00,2295.8,-0.0533,0.0308,0.0841
2024-02-01 19:16:00,2294.6,-0.1462,-0.0987,0.0475
2024-02-01 19:17:00,2296.8,-0.0568,-0.0235,0.0333
2024-02-01 19:18:00,2296.35,-0.0268,-0.0002,0.0266
2024-02-01 19:19:00,2294.7,-0.1122,-0.1136,-0.0014
2024-02-01 19:20:00,2295,-0.1406,-0.1772,-0.0366
2024-02-01 19:21:00,2296.8,-0.0359,-0.0814,-0.0456
2024-02-01 19:22:00,2296.21,-0.0056,-0.0525,-0.047
2024-02-01 19:23:00,2295.2,-0.0503,-0.1099,-0.0595
2024-02-01 19:24:00,2294.4,-0.1263,-0.2174,-0.0911
2024-02-01 19:25:00,2292.39,-0.2947,-0.4594,-0.1648
2024-02-01 19:26:00,2293.35,-0.322,-0.5673,-0.2453
2024-02-01 19:27:00,2293.8,-0.2913,-0.6094,-0.3181
2024-02-01 19:28:00,2292.39,-0.3439,-0.7479,-0.4041
2024-02-01 19:29:00,2292.52,-0.3468,-0.8376,-0.4908
2024-02-01 19:30:00,2293.8,-0.2443,-0.7962,-0.5519
2024-02-01 19:31:00,2294.06,-0.1457,-0.7339,-0.5883
2024-02-01 19:32:00,2295.1,-0.0044,-0.5938,-0.5894
2024-02-01 19:33:00,2293.1,-0.038,-0.6368,-0.5989
2024-02-01 19:34:00,2291.96,-0.1243,-0.7542,-0.6299
2024-02-01 19:35:00,2293.9,-0.0423,-0.6828,-0.6405
2024-02-01 19:36:00,2296.6,0.1894,-0.4037,-0.5931
2024-02-01 19:37:00,2295.49,0.2593,-0.269,-0.5283
2024-02-01 19:38:00,2295.3,0.2822,-0.1755,-0.4578
2024-02-01 19:39:00,2295.24,0.2821,-0.1051,-0.3872
2024-02-01 19:40:00,2295.9,0.3129,0.0039,-0.309
2024-02-01 19:41:00,2297,0.3888,0.1771,-0.2118
2024-02-01 19:42:00,2298.4,0.5073,0.4224,-0.0849
2024-02-01 19:43:00,2299.7,0.6387,0.7135,0.0747
2024-02-01 19:44:00,2299.4,0.6678,0.9095,0.2417
2024-02-01 19:45:00,2299.28,0.6411,1.0431,0.402
2024-02-01 19:46:00,2299.8,0.6203,1.1774,0.557
2024-02-01 19:47:00,2302,0.7101,1.4446,0.7346
2024-02-01 19:48:00,2302.1,0.7288,1.6456,0.9168
2024-02-01 19:49:00,2303.8,0.8025,1.9198,1.1174
2024-02-01 19:50:00,2303.9,0.8028,2.1208,1.3181
2024-02-01 19:51:00,2306.5,0.9148,2.4616,1.5468
2024-02-01 19:52:00,2307.5,0.9868,2.7802,1.7935
2024-02-01 19:53:00,2304.7,0.7851,2.7748,1.9897
2024-02-01 19:54:00,2306.5,0.7143,2.8826,2.1683
2024-02-01 19:55:00,2305.3,0.5361,2.8384,2.3023
2024-02-01 19:56:00,2303.8,0.2796,2.6518,2.3722
2024-02-01 19:57:00,2303.54,0.066,2.4547,2.3887
2024-02-01 19:58:00,2303.3,-0.1085,2.2531,2.3616
2024-02-01 19:59:00,2302.6,-0.2784,2.0136,2.292
2024-02-01 20:00:00,2304.4,-0.2763,1.9467,2.2229
