date,close,macd_histogram,macd_macd,macd_signal
2024-03-01 18:00:00,61923.73,-14.5086,7.0566,21.5652
2024-03-01 18:01:00,61912.64,-12.9023,5.4373,18.3396
2024-03-01 18:02:00,61851.0,-15.3201,-0.8105,14.5096
2024-03-01 18:03:00,61845.0,-16.5476,-6.1749,10.3727
2024-03-01 18:04:00,61934.6,-10.826,-3.1598,7.6662
2024-03-01 18:05:00,61942.0,-6.27,-0.1713,6.0987
2024-03-01 18:06:00,61926.59,-4.1247,0.9429,5.0675
2024-03-01 18:07:00,61998.97,2.0091,7.5789,5.5698
2024-03-01 18:08:00,62010.0,6.4015,13.5716,7.1702
2024-03-01 18:09:00,61994.0,7.7325,16.8357,9.1033
2024-03-01 18:10:00,61967.75,6.4032,17.1072,10.7041
2024-03-01 18:11:00,61984.0,6.1738,18.4213,12.2475
2024-03-01 18:12:00,61998.99,6.5513,20.4366,13.8853
2024-03-01 18:13:00,61998.99,6.3179,21.7827,15.4648
2024-03-01 18:14:00,62035.0,7.9975,25.4617,17.4642
2024-03-01 18:15:00,62016.0,7.2593,26.5383,19.279
2024-03-01 18:16:00,62036.34,7.5383,28.7019,21.1636
2024-03-01 18:17:00,61962.23,2.3956,24.158,21.7625
2024-03-01 18:18:00,61944.0,-2.3152,18.8685,21.1837
2024-03-01 18:19:00,61975.0,-3.3612,16.9821,20.3434
2024-03-01 18:20:00,62015.0,-1.4734,18.5016,19.975
2024-03-01 18:21:00,61941.19,-5.1054,13.5932,18.6987
2024-03-01 18:22:00,61991.54,-4.0715,13.6093,17.6808
2024-03-01 18:23:00,62034.0,-0.6615,16.8539,17.5154
2024-03-01 18:24:00,62104.0,5.818,24.7879,18.9699
2024-03-01 18:25:00,62095.0,8.827,30.0036,21.1766
2024-03-01 18:26:00,62072.0,8.5893,31.9133,23.324
2024-03-01 18:27:00,62111.0,10.2664,36.1569,25.8906
2024-03-01 18:28:00,62163.56,13.8975,43.2625,29.3649
2024-03-01 18:29:00,62216.0,18.5238,52.5197,33.9959
2024-03-01 18:30:00,62245.73,22.0398,61.5457,39.5059
2024-03-01 18:31:00,62195.0,19.4906,63.8691,44.3785
2024-03-01 18:32:00,62181.93,15.6323,63.9189,48.2866
2024-03-01 18:33:00,62177.0,11.6398,62.8363,51.1965
2024-03-01 18:34:00,62189.0,8.8262,62.2292,53.4031
2024-03-01 18:35:00,62151.21,3.7015,58.0299,54.3284
2024-03-01 18:36:00,62279.0,7.9553,64.2726,56.3173
2024-03-01 18:37:00,62338.0,13.4563,73.1376,59.6813
2024-03-01 18:38:00,62363.0,17.2502,81.244,63.9939
2024-03-01 18:39:00,62359.0,17.8851,86.3503,68.4652
2024-03-01 18:40:00,62351.06,16.2146,88.7334,72.5188
2024-03-01 18:41:00,62327.0,12.121,87.6701,75.5491
2024-03-01 18:42:00,62411.0,13.5917,92.5387,78.947
2024-03-01 18:43:00,62397.87,12.2434,94.2512,82.0078
2024-03-01 18:44:00,62413.45,11.003,95.7616,84.7586
2024-03-01 18:45:00,62438.0,10.4428,97.8121,87.3693
2024-03-01 18:46:00,62397.0,6.1312,95.0333,88.9021
2024-03-01 18:47:00,62457.0,6.1259,96.5595,90.4336
2024-03-01 18:48:00,62452.79,4.7084,96.319,91.6107
2024-03-01 18:49:00,62354.14,-3.5578,87.1635,90.7212
2024-03-01 18:50:00,62315.0,-11.8772,75.8747,87.7519
2024-03-01 18:51:00,62299.93,-18.2309,64.9634,83.1942
2024-03-01 18:52:00,62378.55,-16.9986,61.946,78.9446
2024-03-01 18:53:00,62396.02,-14.94,60.2696,75.2096
2024-03-01 18:54:00,62399.0,-13.362,58.5071,71.8691
2024-03-01 18:55:00,62378.0,-13.6679,54.7842,68.4521
2024-03-01 18:56:00,62409.0,-11.7888,53.7161,65.5049
2024-03-01 18:57:00,62385.0,-12.1219,50.3525,62.4744
2024-03-01 18:58:00,62412.0,-10.5417,49.2973,59.839
2024-03-01 18:59:00,62377.65,-11.7363,45.1686,56.9049
2024-03-01 19:00:00,62365.95,-13.1353,40.4858,53.6211
2024-03-01 19:01:00,62349.0,-14.8942,35.0034,49.8975
2024-03-01 19:02:00,62388.0,-13.1818,33.4203,46.6021
2024-03-01 19:03:00,62315.0,-16.5011,25.9757,42.4768
2024-03-01 19:04:00,62299.41,-19.0987,18.6034,37.7021
2024-03-01 19:05:00,62232.0,-24.3713,7.238,31.6093
2024-03-01 19:06:00,62196.55,-28.949,-4.577,24.3721
2024-03-01 19:07:00,62151.0,-33.4298,-17.4152,16.0146
2024-03-01 19:08:00,62106.0,-37.5036,-30.8648,6.6387
2024-03-01 19:09:00,62160.0,-34.7053,-36.7429,-2.0376
2024-03-01 19:10:00,62204.0,-28.3056,-37.4196,-9.114
