date,symbol,open,high,low,close
01-05-18 00:00,BTC/USD,9243.51,9249.99,9231.23,9240.88
01-05-18 00:01,BTC/USD,9239.64,9239.64,9225.16,9233.62
01-05-18 00:02,BTC/USD,9233.75,9233.75,9219.86,9226.31
01-05-18 00:03,BTC/USD,9219.86,9225.5,9216.72,9216.72
01-05-18 00:04,BTC/USD,9216.72,9218.65,9210.92,9215.71
01-05-18 00:05,BTC/USD,9210.93,9215.71,9208.46,9209.37
01-05-18 00:06,BTC/USD,9210.36,9215.5,9201.0,9204.54
01-05-18 00:07,BTC/USD,9204.54,9217.46,9204.54,9213.78
01-05-18 00:08,BTC/USD,9211.88,9213.78,9205.61,9207.49
01-05-18 00:09,BTC/USD,9206.54,9206.55,9200.01,9200.04
01-05-18 00:10,BTC/USD,9206.55,9213.78,9200.0,9207.77
01-05-18 00:11,BTC/USD,9205.7,9205.71,9198.79,9205.7
01-05-18 00:12,BTC/USD,9199.03,9205.71,9199.03,9205.65
01-05-18 00:13,BTC/USD,9205.65,9205.66,9201.01,9205.66
01-05-18 00:14,BTC/USD,9205.66,9205.66,9199.0,9203.9
01-05-18 00:15,BTC/USD,9203.89,9203.89,9197.41,9197.41
01-05-18 00:16,BTC/USD,9202.76,9202.76,9192.24,9199.3
01-05-18 00:17,BTC/USD,9198.01,9198.01,9190.0,9195.75
01-05-18 00:18,BTC/USD,9195.75,9195.75,9180.03,9180.03
01-05-18 00:19,BTC/USD,9180.45,9180.45,9168.8,9171.0
01-05-18 00:20,BTC/USD,9170.44,9171.0,9159.46,9159.46
01-05-18 00:21,BTC/USD,9159.21,9161.08,9145.45,9145.45
01-05-18 00:22,BTC/USD,9145.14,9145.81,9131.53,9131.82
01-05-18 00:23,BTC/USD,9136.44,9136.77,9121.38,9121.38
01-05-18 00:24,BTC/USD,9121.32,9126.9,9107.08,9116.12
01-05-18 00:25,BTC/USD,9116.12,9116.13,9096.79,9105.0
01-05-18 00:26,BTC/USD,9105.0,9138.79,9096.8,9138.79
01-05-18 00:27,BTC/USD,9142.3,9154.9,9130.27,9152.49
01-05-18 00:28,BTC/USD,9152.68,9152.68,9122.61,9122.61
01-05-18 00:29,BTC/USD,9131.3,9131.3,9114.65,9114.87
01-05-18 00:30,BTC/USD,9121.94,9121.94,9109.01,9109.84
01-05-18 00:31,BTC/USD,9109.13,9114.88,9109.01,9114.23
01-05-18 00:32,BTC/USD,9109.01,9124.09,9107.75,9119.59
01-05-18 00:33,BTC/USD,9107.61,9116.8,9104.0,9104.03
01-05-18 00:34,BTC/USD,9104.0,9120.3,9100.0,9100.0
01-05-18 00:35,BTC/USD,9105.26,9105.26,9069.99,9069.99
01-05-18 00:36,BTC/USD,9072.61,9076.05,9051.48,9055.54
01-05-18 00:37,BTC/USD,9055.54,9062.01,9051.48,9054.75
