date,symbol,open,high,low,close
01-07-19 00:00,BTC/USD,10759.24,10776.27,10749.08,10776.27
01-07-19 00:01,BTC/USD,10770.17,10784.06,10757.36,10769.24
01-07-19 00:02,BTC/USD,10775.74,10775.74,10733.92,10733.92
01-07-19 00:03,BTC/USD,10741.71,10747.64,10715.08,10727.61
01-07-19 00:04,BTC/USD,10742.58,10742.58,10678.03,10705.49
01-07-19 00:05,BTC/USD,10693.85,10705.49,10621.01,10633.69
01-07-19 00:06,BTC/USD,10633.69,10686.46,10606.59,10662.9
01-07-19 00:07,BTC/USD,10676.74,10736.1,10676.74,10731.35
01-07-19 00:08,BTC/USD,10731.34,10753.23,10711.86,10734.16
01-07-19 00:09,BTC/USD,10736.64,10779.04,10736.64,10761.09
01-07-19 00:10,BTC/USD,10775.5,10775.5,10735.47,10739.04
01-07-19 00:11,BTC/USD,10736.47,10746.74,10717.05,10739.79
01-07-19 00:12,BTC/USD,10739.79,10850.0,10739.79,10845.79
01-07-19 00:13,BTC/USD,10846.7,10882.36,10818.89,10881.15
01-07-19 00:14,BTC/USD,10881.13,10947.47,10867.6,10899.46
01-07-19 00:15,BTC/USD,10903.38,10934.49,10892.27,10892.27
01-07-19 00:16,BTC/USD,10887.97,10941.39,10887.97,10890.0
01-07-19 00:17,BTC/USD,10886.0,10917.51,10862.97,10878.39
01-07-19 00:18,BTC/USD,10873.13,10916.61,10857.44,10892.62
01-07-19 00:19,BTC/USD,10901.42,10914.41,10866.79,10897.87
01-07-19 00:20,BTC/USD,10910.16,10950.0,10892.59,10919.17
01-07-19 00:21,BTC/USD,10923.09,10923.09,10898.99,10911.45
01-07-19 00:22,BTC/USD,10894.57,10910.55,10868.81,10882.0
01-07-19 00:23,BTC/USD,10887.08,10887.08,10860.86,10874.0
01-07-19 00:24,BTC/USD,10861.33,10917.32,10857.82,10894.69
01-07-19 00:25,BTC/USD,10898.74,10921.16,10875.31,10883.82
01-07-19 00:26,BTC/USD,10883.83,10885.42,10847.21,10847.25
01-07-19 00:27,BTC/USD,10853.32,10860.2,10839.79,10859.93
01-07-19 00:28,BTC/USD,10849.27,10896.31,10849.27,10892.79
01-07-19 00:29,BTC/USD,10897.12,10923.82,10874.23,10904.38
01-07-19 00:30,BTC/USD,10917.38,10934.52,10904.34,10915.36
01-07-19 00:31,BTC/USD,10912.6,10915.35,10872.19,10883.76
01-07-19 00:32,BTC/USD,10873.26,10903.3,10867.46,10887.41
01-07-19 00:33,BTC/USD,10878.84,10894.14,10866.71,10866.71
01-07-19 00:34,BTC/USD,10869.16,10879.17,10863.25,10875.36
01-07-19 00:35,BTC/USD,10871.21,10894.53,10867.58,10884.37
01-07-19 00:36,BTC/USD,10886.8,10915.77,10863.42,10863.42
01-07-19 00:37,BTC/USD,10877.84,10877.84,10832.49,10841.28
01-07-19 00:38,BTC/USD,10841.17,10853.31,10819.29,10848.62
01-07-19 00:39,BTC/USD,10843.01,10879.71,10842.41,10863.6
01-07-19 00:40,BTC/USD,10863.6,10873.47,10848.87,10872.04
01-07-19 00:41,BTC/USD,10867.77,10885.41,10864.28,10878.26
01-07-19 00:42,BTC/USD,10885.14,10902.16,10876.22,10883.27
01-07-19 00:43,BTC/USD,10875.95,10899.03,10875.95,10883.73
01-07-19 00:44,BTC/USD,10883.29,10889.94,10869.01,10887.61
01-07-19 00:45,BTC/USD,10897.16,10935.73,10897.16,10935.73
01-07-19 00:46,BTC/USD,10927.71,10970.26,10917.99,10941.98
01-07-19 00:47,BTC/USD,10933.49,10951.56,10911.87,10911.89
01-07-19 00:48,BTC/USD,10921.23,10934.57,10904.63,10934.57
01-07-19 00:49,BTC/USD,10921.53,10934.47,10911.86,10920.26
01-07-19 00:50,BTC/USD,10907.07,10923.51,10900.02,10918.97
01-07-19 00:51,BTC/USD,10920.43,10953.54,10911.94,10918.05
