date,symbol,open,high,low,close
01-11-18 00:00,BTC/USD,6304.5,6306.37,6304.5,6304.51
01-11-18 00:01,BTC/USD,6306.36,6306.37,6306.36,6306.37
01-11-18 00:02,BTC/USD,6306.37,6306.37,6306.37,6306.37
01-11-18 00:03,BTC/USD,6305.47,6305.47,6305.47,6305.47
01-11-18 00:04,BTC/USD,6305.47,6305.47,6304.5,6304.5
01-11-18 00:05,BTC/USD,6306.27,6306.37,6306.27,6306.37
01-11-18 00:06,BTC/USD,6304.51,6304.51,6304.51,6304.51
01-11-18 00:07,BTC/USD,6304.51,6304.51,6304.5,6304.5
01-11-18 00:08,BTC/USD,6304.5,6304.5,6304.5,6304.5
01-11-18 00:09,BTC/USD,6304.5,6306.35,6304.5,6306.35
01-11-18 00:10,BTC/USD,6306.35,6306.35,6306.35,6306.35
01-11-18 00:11,BTC/USD,6306.35,6306.35,6306.35,6306.35
01-11-18 00:12,BTC/USD,6304.53,6304.53,6304.53,6304.53
01-11-18 00:13,BTC/USD,6306.35,6306.37,6306.35,6306.37
01-11-18 00:14,BTC/USD,6304.53,6304.53,6304.53,6304.53
01-11-18 00:15,BTC/USD,6304.53,6306.37,6304.53,6306.37
01-11-18 00:16,BTC/USD,6306.37,6306.37,6306.37,6306.37
01-11-18 00:17,BTC/USD,6306.37,6306.37,6306.37,6306.37
01-11-18 00:18,BTC/USD,6306.37,6306.37,6306.37,6306.37
01-11-18 00:19,BTC/USD,6306.37,6306.41,6306.37,6306.4
01-11-18 00:20,BTC/USD,6307.26,6308.66,6301.25,6308.66
01-11-18 00:21,BTC/USD,6306.02,6306.02,6306.02,6306.02
01-11-18 00:22,BTC/USD,6306.02,6306.02,6297.0,6297.0
01-11-18 00:23,BTC/USD,6297.31,6302.44,6297.31,6302.44
01-11-18 00:24,BTC/USD,6304.01,6304.01,6304.01,6304.01
01-11-18 00:25,BTC/USD,6304.01,6304.51,6302.44,6302.44
01-11-18 00:26,BTC/USD,6302.84,6302.84,6302.84,6302.84
01-11-18 00:27,BTC/USD,6304.5,6304.51,6301.89,6304.5
01-11-18 00:28,BTC/USD,6304.07,6304.07,6304.07,6304.07
01-11-18 00:29,BTC/USD,6303.01,6304.32,6301.89,6304.32
01-11-18 00:30,BTC/USD,6301.89,6304.51,6301.89,6301.9
01-11-18 00:31,BTC/USD,6301.89,6301.89,6293.22,6297.35
01-11-18 00:32,BTC/USD,6298.73,6301.2,6298.73,6301.2
01-11-18 00:33,BTC/USD,6301.21,6301.21,6301.2,6301.2
01-11-18 00:34,BTC/USD,6301.2,6301.2,6301.2,6301.2
01-11-18 00:35,BTC/USD,6302.42,6302.43,6300.37,6300.37
01-11-18 00:36,BTC/USD,6300.37,6300.37,6300.37,6300.37
01-11-18 00:37,BTC/USD,6300.37,6300.37,6300.37,6300.37
01-11-18 00:38,BTC/USD,6300.37,6300.37,6300.37,6300.37
01-11-18 00:39,BTC/USD,6298.53,6298.53,6298.53,6298.53
01-11-18 00:40,BTC/USD,6301.02,6301.03,6301.02,6301.03
01-11-18 00:41,BTC/USD,6301.03,6302.8,6301.03,6302.79
01-11-18 00:42,BTC/USD,6302.77,6302.77,6301.04,6301.04
01-11-18 00:43,BTC/USD,6301.04,6301.04,6301.04,6301.04
01-11-18 00:44,BTC/USD,6301.04,6301.04,6301.04,6301.04
01-11-18 00:45,BTC/USD,6299.93,6299.93,6299.93,6299.93
01-11-18 00:46,BTC/USD,6299.46,6299.46,6298.84,6298.84
01-11-18 00:47,BTC/USD,6299.25,6301.19,6299.25,6301.19
01-11-18 00:48,BTC/USD,6301.19,6301.19,6301.19,6301.19
01-11-18 00:49,BTC/USD,6301.19,6301.19,6301.19,6301.19
01-11-18 00:50,BTC/USD,6301.2,6305.45,6301.2,6304.0
01-11-18 00:51,BTC/USD,6304.0,6304.0,6304.0,6304.0
01-11-18 00:52,BTC/USD,6304.1,6305.45,6304.1,6304.1
01-11-18 00:53,BTC/USD,6304.96,6307.95,6304.95,6306.53
01-11-18 00:54,BTC/USD,6306.52,6306.52,6306.1,6306.1
01-11-18 00:55,BTC/USD,6301.89,6305.14,6301.89,6305.14
01-11-18 00:56,BTC/USD,6305.14,6308.65,6304.06,6304.06
01-11-18 00:57,BTC/USD,6303.33,6303.34,6303.33,6303.34
01-11-18 00:58,BTC/USD,6304.99,6304.99,6304.99,6304.99
01-11-18 00:59,BTC/USD,6302.34,6302.34,6302.34,6302.34
01-11-18 01:00,BTC/USD,6305.77,6305.77,6305.23,6305.23
01-11-18 01:01,BTC/USD,6305.15,6305.15,6305.15,6305.15
01-11-18 01:02,BTC/USD,6305.15,6305.15,6305.15,6305.15
01-11-18 01:03,BTC/USD,6304.92,6304.92,6304.92,6304.92
01-11-18 01:04,BTC/USD,6304.99,6304.99,6304.99,6304.99
01-11-18 01:05,BTC/USD,6304.99,6304.99,6304.99,6304.99
01-11-18 01:06,BTC/USD,6304.99,6304.99,6304.99,6304.99
01-11-18 01:07,BTC/USD,6304.99,6304.99,6304.99,6304.99
01-11-18 01:08,BTC/USD,6304.54,6304.54,6304.54,6304.54
01-11-18 01:09,BTC/USD,6301.91,6301.91,6301.89,6301.89
01-11-18 01:10,BTC/USD,6304.22,6304.22,6304.2,6304.2
01-11-18 01:11,BTC/USD,6304.2,6304.2,6304.2,6304.2
01-11-18 01:12,BTC/USD,6304.05,6304.05,6301.34,6301.34
01-11-18 01:13,BTC/USD,6301.34,6301.34,6301.34,6301.34
01-11-18 01:14,BTC/USD,6301.34,6301.34,6301.34,6301.34
01-11-18 01:15,BTC/USD,6303.99,6303.99,6301.13,6301.13
01-11-18 01:16,BTC/USD,6304.12,6304.12,6304.12,6304.12
01-11-18 01:17,BTC/USD,6304.12,6304.12,6304.12,6304.12
01-11-18 01:18,BTC/USD,6301.5,6301.5,6301.49,6301.49
01-11-18 01:19,BTC/USD,6305.16,6305.37,6304.71,6304.71
01-11-18 01:20,BTC/USD,6304.71,6304.71,6301.21,6301.51
01-11-18 01:21,BTC/USD,6301.51,6301.51,6301.51,6301.51
01-11-18 01:22,BTC/USD,6301.51,6303.77,6301.35,6301.35
01-11-18 01:23,BTC/USD,6301.35,6303.77,6301.35,6303.77
01-11-18 01:24,BTC/USD,6303.76,6303.77,6303.76,6303.77
01-11-18 01:25,BTC/USD,6305.37,6308.53,6303.08,6308.53
01-11-18 01:26,BTC/USD,6306.4,6307.0,6306.4,6307.0
01-11-18 01:27,BTC/USD,6306.4,6306.41,6306.4,6306.41
01-11-18 01:28,BTC/USD,6306.41,6306.41,6306.41,6306.41
01-11-18 01:29,BTC/USD,6306.41,6306.41,6306.41,6306.41
01-11-18 01:30,BTC/USD,6303.69,6306.3,6303.69,6306.3
01-11-18 01:31,BTC/USD,6306.3,6306.3,6306.3,6306.3
01-11-18 01:32,BTC/USD,6306.3,6306.3,6306.3,6306.3
01-11-18 01:33,BTC/USD,6306.3,6306.3,6306.3,6306.3
01-11-18 01:34,BTC/USD,6306.3,6306.3,6306.3,6306.3
01-11-18 01:35,BTC/USD,6304.84,6306.95,6304.84,6306.18
01-11-18 01:36,BTC/USD,6306.18,6306.18,6306.18,6306.18
01-11-18 01:37,BTC/USD,6306.18,6306.18,6306.18,6306.18
01-11-18 01:38,BTC/USD,6306.18,6306.18,6306.18,6306.18
01-11-18 01:39,BTC/USD,6305.95,6305.95,6305.85,6305.85
01-11-18 01:40,BTC/USD,6305.84,6306.18,6305.84,6306.18
01-11-18 01:41,BTC/USD,6306.18,6306.18,6306.18,6306.18
01-11-18 01:42,BTC/USD,6306.18,6306.19,6306.18,6306.19
01-11-18 01:43,BTC/USD,6306.17,6306.18,6306.17,6306.18
01-11-18 01:44,BTC/USD,6304.59,6304.59,6304.58,6304.58
01-11-18 01:45,BTC/USD,6302.12,6302.12,6302.12,6302.12
01-11-18 01:46,BTC/USD,6302.12,6302.12,6302.12,6302.12
01-11-18 01:47,BTC/USD,6305.26,6305.26,6305.26,6305.26
01-11-18 01:48,BTC/USD,6305.07,6305.07,6303.96,6303.96
01-11-18 01:49,BTC/USD,6303.96,6303.96,6303.96,6303.96
01-11-18 01:50,BTC/USD,6303.85,6303.85,6303.85,6303.85
01-11-18 01:51,BTC/USD,6303.87,6303.87,6300.56,6300.56
01-11-18 01:52,BTC/USD,6300.56,6300.56,6300.56,6300.56
01-11-18 01:53,BTC/USD,6302.71,6302.71,6302.71,6302.71
01-11-18 01:54,BTC/USD,6302.15,6302.15,6302.15,6302.15
01-11-18 01:55,BTC/USD,6304.92,6306.25,6302.16,6304.44
01-11-18 01:56,BTC/USD,6302.15,6304.5,6302.15,6304.5
01-11-18 01:57,BTC/USD,6304.5,6304.5,6304.5,6304.5
01-11-18 01:58,BTC/USD,6304.51,6304.51,6304.51,6304.51
01-11-18 01:59,BTC/USD,6304.43,6304.43,6304.43,6304.43
01-11-18 02:00,BTC/USD,6304.43,6304.43,6304.43,6304.43
01-11-18 02:01,BTC/USD,6304.43,6304.43,6304.43,6304.43
01-11-18 02:02,BTC/USD,6303.16,6303.16,6300.56,6302.93
01-11-18 02:03,BTC/USD,6302.93,6302.93,6302.93,6302.93
01-11-18 02:04,BTC/USD,6302.92,6302.92,6301.82,6302.73
01-11-18 02:05,BTC/USD,6302.73,6302.73,6302.73,6302.73
01-11-18 02:06,BTC/USD,6301.05,6301.05,6301.05,6301.05
01-11-18 02:07,BTC/USD,6301.28,6301.28,6300.89,6300.89
01-11-18 02:08,BTC/USD,6301.28,6302.77,6301.28,6302.77
01-11-18 02:09,BTC/USD,6302.77,6302.77,6302.77,6302.77
01-11-18 02:10,BTC/USD,6302.77,6302.77,6302.77,6302.77
01-11-18 02:11,BTC/USD,6300.57,6300.57,6300.57,6300.57
01-11-18 02:12,BTC/USD,6302.76,6303.25,6302.76,6303.25
01-11-18 02:13,BTC/USD,6300.58,6300.58,6300.58,6300.58
01-11-18 02:14,BTC/USD,6301.53,6301.53,6301.53,6301.53
01-11-18 02:15,BTC/USD,6299.07,6299.07,6297.83,6297.83
01-11-18 02:16,BTC/USD,6297.83,6297.83,6297.83,6297.83
01-11-18 02:17,BTC/USD,6296.26,6296.26,6296.26,6296.26
01-11-18 02:18,BTC/USD,6296.28,6296.28,6296.28,6296.28
01-11-18 02:19,BTC/USD,6297.82,6297.85,6296.28,6297.85
01-11-18 02:20,BTC/USD,6296.29,6297.86,6296.28,6297.86
01-11-18 02:21,BTC/USD,6296.3,6296.3,6296.3,6296.3
01-11-18 02:22,BTC/USD,6296.32,6296.32,6296.32,6296.32
01-11-18 02:23,BTC/USD,6296.32,6296.32,6296.32,6296.32
01-11-18 02:24,BTC/USD,6296.32,6297.89,6296.32,6297.89
01-11-18 02:25,BTC/USD,6296.34,6296.34,6296.33,6296.33
01-11-18 02:26,BTC/USD,6296.33,6296.33,6296.33,6296.33
01-11-18 02:27,BTC/USD,6296.33,6296.33,6296.33,6296.33
01-11-18 02:28,BTC/USD,6297.9,6297.91,6296.37,6296.37
01-11-18 02:29,BTC/USD,6296.37,6296.37,6296.37,6296.37
01-11-18 02:30,BTC/USD,6296.37,6296.37,6296.37,6296.37
01-11-18 02:31,BTC/USD,6296.37,6296.37,6296.37,6296.37
01-11-18 02:32,BTC/USD,6298.78,6298.78,6298.78,6298.78
01-11-18 02:33,BTC/USD,6298.78,6298.78,6298.78,6298.78
01-11-18 02:34,BTC/USD,6298.78,6298.78,6298.78,6298.78
01-11-18 02:35,BTC/USD,6298.15,6298.15,6298.15,6298.15
01-11-18 02:36,BTC/USD,6298.15,6298.15,6298.15,6298.15
01-11-18 02:37,BTC/USD,6298.31,6298.32,6298.31,6298.32
01-11-18 02:38,BTC/USD,6298.32,6298.32,6298.32,6298.32
01-11-18 02:39,BTC/USD,6298.32,6298.32,6298.32,6298.32
01-11-18 02:40,BTC/USD,6298.77,6298.78,6298.77,6298.78
01-11-18 02:41,BTC/USD,6298.78,6298.78,6298.78,6298.78
01-11-18 02:42,BTC/USD,6298.78,6298.78,6298.78,6298.78
01-11-18 02:43,BTC/USD,6298.78,6298.78,6298.78,6298.78
01-11-18 02:44,BTC/USD,6298.78,6298.78,6298.78,6298.78
01-11-18 02:45,BTC/USD,6298.78,6298.78,6298.78,6298.78
01-11-18 02:46,BTC/USD,6298.78,6299.41,6298.78,6299.41
01-11-18 02:47,BTC/USD,6299.49,6299.49,6299.49,6299.49
01-11-18 02:48,BTC/USD,6299.49,6299.49,6299.49,6299.49
01-11-18 02:49,BTC/USD,6300.98,6300.98,6300.98,6300.98
01-11-18 02:50,BTC/USD,6300.98,6300.98,6300.98,6300.98
01-11-18 02:51,BTC/USD,6300.98,6302.54,6300.98,6302.54
01-11-18 02:52,BTC/USD,6302.54,6307.34,6302.54,6307.34
01-11-18 02:53,BTC/USD,6307.34,6307.35,6304.69,6305.77
01-11-18 02:54,BTC/USD,6305.76,6305.76,6305.76,6305.76
01-11-18 02:55,BTC/USD,6303.18,6303.18,6303.18,6303.18
01-11-18 02:56,BTC/USD,6303.17,6303.17,6303.17,6303.17
01-11-18 02:57,BTC/USD,6303.17,6303.17,6303.17,6303.17
01-11-18 02:58,BTC/USD,6303.17,6303.17,6303.17,6303.17
01-11-18 02:59,BTC/USD,6303.17,6303.17,6303.17,6303.17
01-11-18 03:00,BTC/USD,6300.53,6303.18,6300.53,6303.18
01-11-18 03:01,BTC/USD,6303.18,6303.18,6303.18,6303.18
01-11-18 03:02,BTC/USD,6303.18,6303.18,6303.18,6303.18
01-11-18 03:03,BTC/USD,6300.54,6303.18,6300.54,6303.18
01-11-18 03:04,BTC/USD,6300.54,6303.17,6300.53,6303.17
01-11-18 03:05,BTC/USD,6303.18,6303.18,6303.12,6303.12
01-11-18 03:06,BTC/USD,6303.09,6303.18,6303.09,6303.18
01-11-18 03:07,BTC/USD,6302.97,6302.97,6302.97,6302.97
01-11-18 03:08,BTC/USD,6299.84,6299.84,6299.84,6299.84
01-11-18 03:09,BTC/USD,6299.83,6299.84,6299.83,6299.84
01-11-18 03:10,BTC/USD,6299.84,6299.84,6299.84,6299.84
01-11-18 03:11,BTC/USD,6301.03,6301.03,6301.03,6301.03
01-11-18 03:12,BTC/USD,6301.03,6301.03,6301.03,6301.03
01-11-18 03:13,BTC/USD,6301.03,6301.03,6301.03,6301.03
01-11-18 03:14,BTC/USD,6301.03,6301.03,6301.03,6301.03
01-11-18 03:15,BTC/USD,6301.66,6303.26,6301.03,6301.03
01-11-18 03:16,BTC/USD,6301.03,6301.03,6301.03,6301.03
01-11-18 03:17,BTC/USD,6301.03,6301.03,6301.03,6301.03
01-11-18 03:18,BTC/USD,6301.03,6301.03,6301.03,6301.03
01-11-18 03:19,BTC/USD,6301.03,6301.03,6301.03,6301.03
01-11-18 03:20,BTC/USD,6302.25,6302.26,6302.25,6302.26
01-11-18 03:21,BTC/USD,6302.26,6302.26,6302.26,6302.26
01-11-18 03:22,BTC/USD,6302.26,6302.26,6302.26,6302.26
01-11-18 03:23,BTC/USD,6302.25,6302.25,6302.25,6302.25
01-11-18 03:24,BTC/USD,6298.99,6298.99,6298.99,6298.99
01-11-18 03:25,BTC/USD,6302.25,6302.25,6302.25,6302.25
01-11-18 03:26,BTC/USD,6298.99,6298.99,6298.99,6298.99
01-11-18 03:27,BTC/USD,6298.99,6298.99,6298.98,6298.98
01-11-18 03:28,BTC/USD,6298.98,6298.98,6298.98,6298.98
01-11-18 03:29,BTC/USD,6301.73,6301.74,6296.38,6296.38
01-11-18 03:30,BTC/USD,6298.12,6298.13,6298.12,6298.13
01-11-18 03:31,BTC/USD,6297.71,6297.71,6297.71,6297.71
01-11-18 03:32,BTC/USD,6297.71,6297.71,6297.71,6297.71
01-11-18 03:33,BTC/USD,6296.89,6297.84,6296.89,6297.84
01-11-18 03:34,BTC/USD,6295.65,6295.65,6295.65,6295.65
