date,close,macd_histogram,macd_macd,macd_signal
2024-02-01 00:28:00,42403.0,-10.7199,-43.8839,-33.164
2024-02-01 00:29:00,42425.5,-8.0328,-43.205,-35.1722
2024-02-01 00:30:00,42460.24,-3.3898,-39.4094,-36.0196
2024-02-01 00:31:00,42484.0,1.5427,-34.0912,-35.634
2024-02-01 00:32:00,42434.0,1.6875,-33.5246,-35.2121
2024-02-01 00:33:00,42422.99,1.3081,-33.577,-34.8851
2024-02-01 00:34:00,42413.99,0.7454,-33.9533,-34.6987
2024-02-01 00:35:00,42429.0,1.6279,-32.6638,-34.2917
2024-02-01 00:36:00,42411.54,1.2941,-32.6741,-33.9682
2024-02-01 00:37:00,42390.83,0.005,-33.9619,-33.9669
2024-02-01 00:38:00,42344.0,-3.4821,-38.3195,-34.8374
2024-02-01 00:39:00,42333.0,-5.8696,-42.1745,-36.3049
2024-02-01 00:40:00,42272.55,-10.5852,-49.5363,-38.9511
2024-02-01 00:41:00,42215.0,-16.3035,-59.3305,-43.027
2024-02-01 00:42:00,42286.0,-14.1096,-60.664,-46.5544
2024-02-01 00:43:00,42322.11,-9.266,-58.137,-48.8709
2024-02-01 00:44:00,42340.17,-4.1463,-54.0538,-49.9075
2024-02-01 00:45:00,42356.47,0.7752,-48.9385,-49.7137
2024-02-01 00:46:00,42399.0,6.9867,-40.9804,-47.967
2024-02-01 00:47:00,42418.71,12.2088,-32.7061,-44.9149
2024-02-01 00:48:00,42405.03,14.3784,-26.9419,-41.3203
2024-02-01 00:49:00,42420.0,16.3165,-20.9246,-37.2411
2024-02-01 00:50:00,42397.0,15.5477,-17.8065,-33.3542
2024-02-01 00:51:00,42446.0,17.682,-11.2518,-28.9337
2024-02-01 00:52:00,42426.58,17.1172,-7.5372,-24.6544
2024-02-01 00:53:00,42433.0,16.5004,-4.029,-20.5293
2024-02-01 00:54:00,42417.0,14.4148,-2.5108,-16.9256
2024-02-01 00:55:00,42371.54,9.6052,-4.9191,-14.5243
2024-02-01 00:56:00,42418.1,9.1908,-3.0358,-12.2266
2024-02-01 00:57:00,42425.34,9.0228,-0.9481,-9.9709
2024-02-01 00:58:00,42452.0,10.2368,2.8251,-7.4117
2024-02-01 00:59:00,42450.0,10.401,5.5896,-4.8114
2024-02-01 01:00:00,42442.19,9.5042,7.0688,-2.4354
2024-02-01 01:01:00,42413.29,6.6217,5.8417,-0.78
2024-02-01 01:02:00,42439.0,6.1157,6.8647,0.749
2024-02-01 01:03:00,42398.0,2.8547,4.3173,1.4626
2024-02-01 01:04:00,42386.23,-0.1034,1.3334,1.4368
2024-02-01 01:05:00,42382.0,-2.2351,-1.3571,0.878
2024-02-01 01:06:00,42359.98,-4.8673,-5.2061,-0.3388
2024-02-01 01:07:00,42346.62,-7.1115,-9.2282,-2.1167
2024-02-01 01:08:00,42324.0,-9.5696,-14.0787,-4.5091
2024-02-01 01:09:00,42310.58,-11.4239,-18.789,-7.3651
2024-02-01 01:10:00,42315.0,-11.6381,-21.9127,-10.2746
2024-02-01 01:11:00,42289.0,-12.7278,-26.1844,-13.4566
2024-02-01 01:12:00,42273.38,-13.6178,-30.4788,-16.861
2024-02-01 01:13:00,42281.54,-12.7873,-32.8451,-20.0578
2024-02-01 01:14:00,42232.84,-14.5215,-38.2097,-23.6882
2024-02-01 01:15:00,42249.0,-13.5999,-40.6881,-27.0882
2024-02-01 01:16:00,42153.0,-18.1889,-49.8243,-31.6354
2024-02-01 01:17:00,42089.0,-23.9076,-61.5199,-37.6123
2024-02-01 01:18:00,42088.97,-25.8977,-69.9845,-44.0867
2024-02-01 01:19:00,42089.26,-25.3671,-75.7956,-50.4285
2024-02-01 01:20:00,42089.0,-23.2615,-79.5054,-56.2439
2024-02-01 01:21:00,41991.0,-26.4638,-89.3236,-62.8598
2024-02-01 01:22:00,42036.0,-23.6387,-92.4082,-68.7695
2024-02-01 01:23:00,42001.0,-22.2355,-96.5639,-74.3284
